iter	Passed	Remaining
145	8121	47505
146	8175	47440
147	8232	47392
148	8288	47336
149	8348	47306
150	8404	47252
151	8463	47217
152	8521	47175
153	8573	47098
154	8630	47052
155	8691	47022
156	8755	47011
157	8817	46988
158	8879	46967
159	8946	46967
160	9002	46912
161	9058	46855
162	9116	46811
163	9162	46707
164	9214	46633
165	9273	46590
166	9337	46575
167	9399	46549
168	9453	46486
169	9514	46453
170	9575	46420
171	9638	46399
172	9701	46378
173	9761	46337
174	9825	46318
175	9879	46253
176	9939	46214
177	10000	46179
178	10054	46114
179	10108	46049
180	10163	45986
181	10216	45918
182	10263	45820
183	10313	45739
184	10371	45691
185	10424	45620
186	10477	45550
187	10530	45482
188	10584	45416
189	10633	45333
190	10695	45301
191	10765	45303
192	10826	45269
193	10880	45204
194	10932	45133
195	10988	45073
196	11045	45023
197	11101	44966
198	11152	44891
199	11209	44836
200	11263	44775
201	11317	44707
202	11368	44633
203	11421	44564
204	11475	44500
205	11528	44436
206	11579	44361
207	11636	44306
208	11697	44270
209	11755	44223
210	11812	44171
211	11866	44109
212	11922	44050
213	11974	43980
214	12028	43917
215	12084	43861
216	12141	43810
217	12193	43739
218	12254	43701
219	12312	43653
220	12370	43603
221	12424	43540
222	12479	43483
223	12534	43424
224	12590	43366
225	12647	43314
226	12703	43258
227	12755	43190
228	12804	43109
229	12860	43053
230	12918	43004
231	12970	42936
232	13019	42859
233	13075	42801
234	13131	42747
235	13190	42700
236	13245	42641
237	13293	42560
238	13346	42495
239	13405	42449
240	13462	42399
241	13519	42346
242	13570	42276
243	13622	42208
244	13676	42147
245	13730	42085
246	13788	42035
247	13846	41987
248	13900	41926
249	13955	41865
250	14009	41806
251	14066	41752
252	14114	41673
253	14171	41621
254	14225	41559
255	14279	41499
256	14337	41449
257	14391	41388
258	14448	41335
259	14505	41286
260	14567	41246
261	14617	41174
262	14669	41107
263	14721	41042
264	14780	40996
265	14838	40946
266	14893	40887
267	14944	40819
268	14998	40758
269	15055	40704
270	15111	40650
271	15164	40587
272	15219	40530
273	15277	40481
274	15332	40421
275	15382	40352
276	15438	40295
277	15494	40240
278	15548	40179
279	15608	40135
280	15664	40081
281	15717	40017
282	15773	39963
283	15828	39904
284	15879	39837
285	15936	39784
286	15996	39739
287	16049	39677
288	16103	39617
289	16159	39562
290	16217	39512
291	16272	39455
292	16328	39399
293	16388	39353
294	16440	39289
295	16497	39237
296	16554	39183
297	16608	39124
298	16666	39073
299	16722	39019
300	16778	38963
301	16833	38907
302	16890	38853
303	16944	38793
304	16993	38723
305	17050	38669
306	17105	38612
307	17160	38556
308	17214	38496
309	17267	38434
310	17322	38376
311	17378	38321
312	17433	38264
313	17486	38203
314	17543	38150
315	17598	38092
316	17656	38042
317	17712	37986
318	17762	37919
319	17821	37869
320	17879	37819
321	17937	37768
322	17992	37712
323	18047	37653
324	18106	37605
325	18162	37550
326	18217	37493
327	18276	37444
328	18333	37391
329	18387	37331
330	18447	37285
331	18501	37225
332	18559	37174
333	18616	37122
334	18667	37055
335	18725	37004
336	18781	36949
337	18834	36888
338	18890	36833
339	18949	36783
340	18999	36717
341	19054	36660
342	19105	36596
343	19165	36548
344	19223	36497
345	19279	36441
346	19332	36380
347	19385	36320
348	19438	36258
349	19496	36208
350	19557	36162
351	19612	36103
352	19669	36050
353	19720	35987
354	19772	35924
355	19823	35860
356	19874	35796
357	19930	35741
358	19985	35683
359	20042	35630
360	20093	35567
361	20151	35514
362	20202	35450
363	20252	35385
364	20312	35337
365	20365	35278
366	20421	35222
367	20479	35171
368	20534	35114
369	20588	35055
370	20637	34989
371	20690	34929
372	20748	34876
373	20812	34836
374	20871	34786
375	20928	34732
376	20980	34671
377	21034	34612
378	21093	34561
379	21152	34511
380	21212	34463
381	21276	34421
382	21334	34369
383	21396	34323
384	21449	34263
385	21514	34222
386	21571	34168
387	21637	34129
388	21691	34070
389	21743	34008
390	21803	33960
391	21863	33911
392	21921	33857
393	21977	33802
394	22035	33751
395	22089	33691
396	22147	33639
397	22203	33584
398	22259	33528
399	22315	33473
400	22371	33418
401	22436	33375
402	22492	33319
403	22544	33258
404	22607	33213
405	22715	33233
406	22780	33191
407	22846	33150
408	22906	33099
409	22967	33050
410	23025	32997
411	23087	32949
412	23144	32895
413	23204	32845
414	23261	32790
415	23320	32737
416	23380	32687
417	23438	32634
418	23495	32579
419	23555	32528
420	23618	32483
421	23679	32433
422	23732	32373
423	23786	32314
424	23841	32255
425	23892	32193
426	23950	32140
427	24006	32083
428	24070	32037
429	24133	31990
430	24195	31942
431	24255	31890
432	24313	31838
433	24369	31781
434	24428	31728
435	24486	31675
436	24544	31621
437	24600	31565
438	24653	31504
439	24707	31445
440	24762	31388
441	24817	31331
442	24868	31268
443	24920	31207
444	24981	31156
445	25040	31104
446	25099	31051
447	25159	30999
448	25219	30948
449	25282	30900
450	25340	30847
451	25406	30802
452	25462	30745
453	25519	30690
454	25578	30637
455	25634	30581
456	25693	30528
457	25749	30471
458	25805	30415
459	25869	30368
460	25928	30316
461	25983	30257
462	26045	30208
463	26104	30154
464	26161	30100
465	26223	30050
466	26275	29988
467	26333	29934
468	26392	29881
469	26451	29827
470	26505	29769
471	26565	29717
472	26618	29656
473	26679	29606
474	26737	29552
475	26799	29502
476	26858	29448
477	26911	29388
478	26970	29334
479	27033	29285
480	27091	29231
481	27149	29176
482	27201	29116
483	27261	29063
484	27323	29013
485	27381	28959
486	27438	28903
487	27500	28852
488	27561	28801
489	27618	28745
490	27677	28692
491	27734	28635
492	27800	28590
493	27864	28541
494	27927	28491
495	27982	28433
496	28042	28380
497	28100	28326
498	28155	28268
499	28212	28212
500	28270	28157
501	28323	28097
502	28378	28040
503	28443	27991
504	28503	27939
505	28558	27880
506	28616	27826
507	28673	27770
508	28728	27712
509	28784	27655
510	28843	27602
511	28897	27542
512	28979	27510
513	29053	27471
514	29119	27423
515	29181	27371
516	29244	27321
517	29302	27266
518	29361	27212
519	29419	27156
520	29479	27102
521	29533	27044
522	29597	26994
523	29660	26943
524	29727	26895
525	29787	26842
526	29848	26789
527	29914	26741
528	29970	26684
529	30032	26632
530	30098	26584
531	30161	26533
532	30217	26475
533	30282	26425
534	30340	26370
535	30399	26316
536	30458	26261
537	30512	26202
538	30568	26144
539	30629	26091
540	30683	26033
541	30739	25975
542	30794	25917
543	30856	25865
544	30916	25810
545	30974	25755
546	31031	25699
547	31092	25645
548	31152	25591
549	31211	25536
550	31265	25477
551	31325	25423
552	31379	25364
553	31441	25312
554	31502	25258
555	31560	25202
556	31619	25148
557	31672	25088
558	31728	25031
559	31791	24978
560	31852	24925
561	31909	24868
562	31966	24812
563	32022	24755
564	32081	24700
565	32147	24650
566	32209	24597
567	32276	24548
568	32335	24492
569	32397	24439
570	32459	24387
571	32524	24336
572	32584	24282
573	32639	24223
574	32692	24164
575	32750	24108
576	32810	24053
577	32874	24001
578	32927	23942
579	32982	23883
580	33042	23829
581	33108	23778
582	33161	23719
583	33224	23666
584	33282	23610
585	33348	23560
586	33415	23510
587	33471	23452
588	33528	23396
589	33587	23340
590	33651	23288
591	33709	23232
592	33768	23176
593	33827	23121
594	33886	23065
595	33947	23011
596	34004	22954
597	34064	22899
598	34125	22844
599	34190	22793
600	34245	22735
601	34305	22680
602	34365	22625
603	34430	22573
604	34487	22516
605	34544	22459
606	34604	22404
607	34656	22344
608	34714	22287
609	34772	22231
610	34832	22176
611	34891	22120
612	34947	22063
613	35002	22004
614	35063	21950
615	35118	21891
616	35180	21838
617	35242	21784
618	35305	21730
619	35359	21671
620	35419	21616
621	35480	21562
622	35536	21504
623	35597	21449
624	35654	21392
625	35716	21338
626	35769	21279
627	35829	21223
628	35886	21166
629	35946	21111
630	35998	21051
631	36058	20995
632	36115	20938
633	36196	20895
634	36262	20844
635	36326	20790
636	36388	20736
637	36445	20678
638	36507	20624
639	36565	20567
640	36625	20512
641	36695	20462
642	36757	20408
643	36811	20349
644	36872	20294
645	36931	20237
646	36986	20179
647	37044	20122
648	37097	20063
649	37155	20006
650	37206	19946
651	37267	19891
652	37328	19836
653	37387	19780
654	37447	19724
655	37504	19667
656	37560	19609
657	37623	19554
658	37677	19496
659	37739	19441
660	37798	19385
661	37855	19327
662	37918	19273
663	37971	19214
664	38027	19156
665	38080	19097
666	38138	19040
667	38196	18984
668	38256	18928
669	38318	18873
670	38379	18817
671	38438	18761
672	38495	18704
673	38548	18645
674	38601	18585
675	38656	18527
676	38715	18471
677	38778	18416
678	38831	18357
679	38895	18303
680	38946	18243
681	39005	18187
682	39064	18130
683	39135	18080
684	39199	18025
685	39263	17971
686	39332	17920
687	39394	17865
688	39448	17806
689	39517	17754
690	39586	17702
691	39642	17644
692	39705	17589
693	39764	17532
694	39820	17475
695	39881	17419
696	39939	17362
697	39999	17306
698	40057	17249
699	40115	17192
700	40176	17136
701	40235	17079
702	40288	17020
703	40348	16964
704	40401	16905
705	40456	16847
706	40508	16787
707	40568	16731
708	40618	16671
709	40676	16614
710	40742	16560
711	40800	16503
712	40861	16447
713	40922	16391
714	40987	16337
715	41042	16279
716	41101	16222
717	41161	16166
718	41227	16112
719	41295	16059
720	41365	16007
721	41430	15952
722	41490	15896
723	41545	15837
724	41601	15779
725	41661	15723
726	41718	15666
727	41770	15606
728	41823	15547
729	41876	15488
730	41934	15431
731	41985	15371
732	42040	15313
733	42098	15256
734	42152	15197
735	42211	15141
736	42267	15083
737	42323	15025
738	42383	14969
739	42445	14913
740	42502	14855
741	42560	14798
742	42627	14744
743	42692	14689
744	42756	14634
745	42819	14579
746	42880	14523
747	42966	14475
748	43028	14419
749	43084	14361
750	43149	14306
751	43211	14250
752	43270	14193
753	43327	14136
754	43383	14078
755	43443	14021
756	43506	13965
757	43561	13907
758	43627	13852
759	43683	13794
760	43747	13739
761	43807	13682
762	43862	13624
763	43921	13567
764	43978	13509
765	44034	13451
766	44093	13394
767	44151	13337
768	44206	13279
769	44268	13223
770	44319	13163
771	44379	13106
772	44436	13049
773	44491	12991
774	44547	12933
775	44600	12874
776	44657	12816
777	44713	12758
778	44765	12699
779	44815	12640
780	44883	12585
781	44942	12528
782	45004	12472
783	45059	12414
784	45115	12356
785	45170	12298
786	45226	12240
787	45282	12182
788	45334	12123
789	45396	12067
790	45451	12009
791	45510	11952
792	45567	11894
793	45625	11837
794	45677	11778
795	45738	11721
796	45800	11665
797	45851	11606
798	45904	11548
799	45959	11489
800	46013	11431
801	46067	11373
802	46124	11315
803	46182	11258
804	46252	11203
805	46316	11148
806	46375	11091
807	46434	11034
808	46490	10976
809	46554	10920
810	46616	10863
811	46675	10806
812	46733	10749
813	46792	10692
814	46843	10633
815	46906	10576
816	46964	10519
817	47015	10460
818	47066	10401
819	47125	10344
820	47182	10287
821	47242	10230
822	47294	10171
823	47354	10114
824	47408	10056
825	47465	9998
826	47518	9940
827	47582	9884
828	47642	9827
829	47698	9769
830	47749	9710
831	47809	9653
832	47871	9597
833	47931	9540
834	47986	9482
835	48041	9424
836	48094	9366
837	48145	9307
838	48197	9248
839	48257	9191
840	48313	9134
841	48377	9077
842	48438	9021
843	48494	8963
844	48556	8906
845	48617	8849
846	48674	8792
847	48736	8735
848	48801	8679
849	48862	8622
850	48926	8566
851	48981	8508
852	49043	8451
853	49103	8394
854	49162	8337
855	49235	8282
856	49294	8225
857	49349	8167
858	49404	8109
859	49460	8051
860	49519	7994
861	49579	7937
862	49641	7880
863	49697	7822
864	49756	7765
865	49820	7708
866	49877	7651
867	49935	7593
868	49991	7536
869	50057	7479
870	50114	7422
871	50175	7365
872	50234	7307
873	50297	7251
874	50363	7194
875	50422	7137
876	50481	7080
877	50537	7022
878	50589	6963
879	50642	6905
880	50693	6847
881	50758	6790
882	50816	6733
883	50873	6675
884	50927	6617
885	50990	6560
886	51044	6502
887	51109	6446
888	51169	6388
889	51230	6331
890	51289	6274
891	51345	6216
892	51401	6158
893	51457	6101
894	51510	6043
895	51567	5985
896	51617	5927
897	51674	5869
898	51731	5811
899	51792	5754
900	51851	5697
901	51906	5639
902	51962	5581
903	52021	5524
904	52076	5466
905	52135	5409
906	52189	5351
907	52248	5293
908	52299	5235
909	52362	5178
910	52425	5121
911	52487	5064
912	52554	5007
913	52615	4950
914	52669	4892
915	52726	4835
916	52781	4777
917	52842	4720
918	52895	4662
919	52958	4605
920	53015	4547
921	53074	4490
922	53144	4433
923	53209	4376
924	53267	4319
925	53332	4261
926	53392	4204
927	53450	4147
928	53509	4089
929	53568	4032
930	53630	3974
931	53690	3917
932	53748	3859
933	53805	3802
934	53861	3744
935	53923	3687
936	53985	3629
937	54061	3573
938	54128	3516
939	54201	3459
940	54259	3402
941	54323	3344
942	54380	3287
943	54436	3229
944	54493	3171
945	54545	3113
946	54601	3055
947	54659	2998
948	54718	2940
949	54779	2883
950	54835	2825
951	54893	2767
952	54956	2710
953	55012	2652
954	55070	2594
955	55133	2537
956	55195	2480
957	55257	2422
958	55313	2364
959	55376	2307
960	55434	2249
961	55492	2192
962	55556	2134
963	55632	2077
964	55692	2019
965	55751	1962
966	55814	1904
967	55875	1847
968	55935	1789
969	55994	1731
970	56046	1673
971	56106	1616
972	56167	1558
973	56228	1500
974	56289	1443
975	56350	1385
976	56408	1327
977	56470	1270
978	56531	1212
979	56591	1154
980	56650	1097
981	56707	1039
982	56766	981
983	56821	923
984	56882	866
985	56945	808
986	57005	750
987	57075	693
988	57135	635
989	57199	577
990	57264	520
991	57326	462
992	57382	404
993	57445	346
994	57505	288
995	57564	231
996	57626	173
997	57679	115
998	57745	57
999	57805	0
