iter	RMSE
0	0.05017231781
1	0.04931968987
2	0.04846205852
3	0.04769565926
4	0.04694642437
5	0.04621358256
6	0.04550943516
7	0.04486389568
8	0.04420796194
9	0.0435676655
10	0.04299926125
11	0.04243836337
12	0.04188000456
13	0.0413435659
14	0.04082397519
15	0.04029368333
16	0.03978829066
17	0.03932244123
18	0.03885660196
19	0.03838340113
20	0.03796364451
21	0.03754889592
22	0.0371359672
23	0.03673736376
24	0.03635711928
25	0.03597662212
26	0.03560897419
27	0.03526617723
28	0.03493283922
29	0.03460541413
30	0.03428689426
31	0.03398108233
32	0.03367697737
33	0.03338422795
34	0.03310097149
35	0.0328196529
36	0.03254340909
37	0.03227548327
38	0.03201976273
39	0.0317708706
40	0.03151935288
41	0.03126863598
42	0.03102108694
43	0.0307862958
44	0.03056143084
45	0.03033929914
46	0.03012069499
47	0.0299130654
48	0.02970889648
49	0.02950583713
50	0.02930635282
51	0.02910273139
52	0.02890923866
53	0.02872588569
54	0.02854627656
55	0.02836438654
56	0.02818723759
57	0.02802340991
58	0.02786252855
59	0.02770334927
60	0.02754534896
61	0.02738932249
62	0.02723891318
63	0.02708979893
64	0.02694571743
65	0.02680014895
66	0.0266610508
67	0.02652388783
68	0.02638548884
69	0.02625354914
70	0.02612911305
71	0.0260055157
72	0.02588435572
73	0.02576816558
74	0.0256555254
75	0.02554308961
76	0.02543240651
77	0.02532767007
78	0.02522381545
79	0.02512181792
80	0.02502109899
81	0.02492271164
82	0.02482437525
83	0.02472903415
84	0.02463863826
85	0.02454761369
86	0.02445981737
87	0.02437677984
88	0.02429566806
89	0.0242162057
90	0.02413689202
91	0.02406058209
92	0.02398390383
93	0.02390950065
94	0.02383268282
95	0.0237575945
96	0.02368682768
97	0.02361683129
98	0.02354917865
99	0.02348245145
100	0.02341704365
101	0.02335321098
102	0.02328970327
103	0.02322643451
104	0.02316599035
105	0.02310740853
106	0.02304968179
107	0.02299177616
108	0.02293560193
109	0.02288000367
110	0.02282513044
111	0.02277234976
112	0.02272116745
113	0.02267054478
114	0.02261977257
115	0.0225697872
116	0.02252161992
117	0.0224739187
118	0.02242781243
119	0.02238254233
120	0.02233899849
121	0.02229629628
122	0.02225380395
123	0.02221291086
124	0.02217220594
125	0.02213262698
126	0.0220943619
127	0.02205611576
128	0.02201789201
129	0.02198067231
130	0.02194436534
131	0.02190866828
132	0.02187298487
133	0.02183839343
134	0.02180500507
135	0.0217729104
136	0.02174164959
137	0.02171067914
138	0.02168067757
139	0.02165118529
140	0.0216217865
141	0.02159311347
142	0.0215648872
143	0.02153683974
144	0.02150970834
145	0.02148283585
146	0.0214564881
147	0.02143068557
148	0.02140563855
149	0.02138102664
150	0.02135675991
151	0.02133324026
152	0.02131016388
153	0.02128656456
154	0.02126431681
155	0.02124271272
156	0.02122151743
157	0.02120074632
158	0.02118018421
159	0.02115993241
160	0.02114012786
161	0.02112061262
162	0.02110127068
163	0.02108222129
164	0.02106383142
165	0.021046063
166	0.0210285092
167	0.02101117225
168	0.02099417848
